customer_id,Recency,Frequency,Monetary_Value,Support_Complaints,Web_Interactions,Segment
CUST00055,3,3,1308.35,1.0,1,Loyal Customers
CUST00056,9,4,3530.41,1.0,1,Loyal Customers
CUST00057,136,2,2510.83,0.0,1,Dormant Customers
CUST00058,42,4,2451.54,0.0,1,Loyal Customers
CUST00059,2,3,2852.63,0.0,1,Loyal Customers
CUST00060,145,1,293.22,0.0,1,Dormant Customers
CUST00061,14,4,1966.09,1.0,1,Loyal Customers
CUST00062,21,4,2805.19,1.0,1,Loyal Customers
CUST00063,216,1,397.69,1.0,1,Dormant Customers
CUST00064,2,1,654.93,0.0,1,Dormant Customers
CUST00065,6,1,1911.67,0.0,1,Dormant Customers
CUST00066,320,5,4494.590799999998,1.0,1,At-Risk Spenders
CUST00067,63,2,1246.44,1.0,1,Dormant Customers
CUST00068,346,3,2123.66,1.0,1,Dormant Customers
CUST00069,29,2,874.47,0.0,1,Dormant Customers
CUST00070,38,1,542.98,0.0,1,Dormant Customers
CUST00071,32,1,2062.5,1.0,1,Dormant Customers
CUST00072,90,4,2587.02,0.0,1,Dormant Customers
CUST00073,8,5,4077.07,0.0,1,Champions
CUST00074,7,4,2523.65,1.0,1,Loyal Customers
CUST00075,3,9,6791.61,4.0,1,Champions
CUST00076,20,2,1385.27,0.0,1,Dormant Customers
CUST00077,109,1,394.32,0.0,1,Dormant Customers
CUST00078,139,1,894.45,1.0,1,Dormant Customers
CUST00079,191,1,619.57,0.0,1,Dormant Customers
CUST00080,50,3,2563.41,0.0,1,Dormant Customers
CUST00081,19,8,5311.16,3.0,1,Champions
CUST00082,254,3,1671.25,0.0,1,Dormant Customers
CUST00083,89,2,806.87,1.0,1,Dormant Customers
CUST00084,167,1,1273.18,0.0,1,Dormant Customers
CUST00085,14,1,1257.8,0.0,1,Dormant Customers
CUST00086,21,5,2195.41,1.0,1,Champions
CUST00087,44,1,933.58,0.0,1,Dormant Customers
CUST00088,98,12,6774.5,1.0,1,At-Risk Spenders
CUST00089,165,2,2825.75,0.0,1,Dormant Customers
CUST00090,80,4,1966.31,1.0,1,Dormant Customers
CUST00091,90,4,3667.400799999999,1.0,1,Dormant Customers
CUST00092,21,1,430.85,0.0,1,Dormant Customers
CUST00093,85,1,759.64,0.0,1,Dormant Customers
CUST00094,183,4,3557.43,2.0,1,Dormant Customers
CUST00095,65,1,372.65,1.0,1,Dormant Customers
CUST00096,61,3,1563.75,1.0,1,Dormant Customers
CUST00097,1,7,4703.46,2.0,1,Champions
CUST00098,184,2,1843.57,1.0,1,Dormant Customers
CUST00099,144,5,3410.87,1.0,1,Dormant Customers
CUST00100,70,1,372.37,0.0,1,Dormant Customers
CUST00101,108,5,3514.87,2.0,1,Dormant Customers
CUST00102,83,1,732.65,0.0,1,Dormant Customers
CUST00103,21,1,1469.96,0.0,1,Dormant Customers
CUST00104,93,1,955.63,0.0,1,Dormant Customers
CUST00105,46,1,2052.43,0.0,1,Dormant Customers
CUST00106,61,7,4352.11,1.0,1,At-Risk Spenders
CUST00107,12,3,3548.15,0.0,1,Loyal Customers
CUST00108,44,1,1074.5,1.0,1,Dormant Customers
CUST00109,92,5,3837.05,0.0,1,Dormant Customers
CUST00110,35,6,3922.07,2.0,1,Dormant Customers
CUST00111,178,1,1135.09,0.0,1,Dormant Customers
CUST00112,0,8,5576.25,1.0,1,Champions
CUST00113,28,2,1601.31,0.0,1,Dormant Customers
CUST00114,239,6,5133.53,1.0,1,At-Risk Spenders
CUST00115,159,1,596.54,1.0,1,Dormant Customers
CUST00116,143,6,5635.9,0.0,1,At-Risk Spenders
CUST00117,123,4,2534.33,0.0,1,Dormant Customers
CUST00118,27,1,689.56,0.0,1,Dormant Customers
CUST00119,69,3,2848.36,1.0,1,Dormant Customers
CUST00120,26,1,261.95,0.0,1,Dormant Customers
CUST00121,27,2,2496.03,0.0,1,Dormant Customers
CUST00122,106,2,2048.93,0.0,1,Dormant Customers
CUST00123,102,6,2989.07,3.0,1,Dormant Customers
CUST00124,194,4,2570.5,0.0,1,Dormant Customers
CUST00125,8,2,1698.4,0.0,1,Dormant Customers
CUST00126,57,2,1260.02,0.0,1,Dormant Customers
CUST00127,24,2,729.55,0.0,1,Dormant Customers
CUST00128,19,2,1716.68,0.0,1,Dormant Customers
CUST00129,83,3,3369.08,2.0,1,Dormant Customers
CUST00130,88,1,1272.47,0.0,1,Dormant Customers
CUST00131,67,6,6830.01,0.0,1,At-Risk Spenders
CUST00132,117,5,4876.780000000001,0.0,1,At-Risk Spenders
CUST00133,54,8,5982.58,1.0,1,At-Risk Spenders
CUST00134,35,5,4075.34,3.0,1,At-Risk Spenders
CUST00135,333,4,2534.18,0.0,1,Dormant Customers
CUST00136,71,1,514.9,0.0,1,Dormant Customers
CUST00137,177,2,1035.87,0.0,1,Dormant Customers
CUST00138,61,1,905.11,0.0,1,Dormant Customers
CUST00139,28,2,1715.4,2.0,1,Dormant Customers
CUST00140,6,4,3768.34,2.0,1,Dormant Customers
CUST00141,28,1,647.85,0.0,1,Dormant Customers
CUST00142,169,5,1880.0,0.0,1,Dormant Customers
CUST00143,32,6,7407.96,0.0,1,Loyal Customers
CUST00144,86,9,6186.54,3.0,1,At-Risk Spenders
CUST00145,30,1,502.35,0.0,1,Dormant Customers
CUST00146,108,5,5838.500799999999,1.0,1,At-Risk Spenders
CUST00147,84,3,2809.32,1.0,1,Dormant Customers
CUST00148,4,4,3013.01,1.0,1,Loyal Customers
CUST00149,8,1,787.94,0.0,1,Dormant Customers
CUST00150,45,3,1355.63,0.0,1,Loyal Customers
CUST00151,62,7,5530.69,3.0,1,At-Risk Spenders
CUST00152,46,7,4989.280000000001,4.0,1,At-Risk Spenders
CUST00153,3,1,977.12,0.0,1,Dormant Customers
CUST00154,10,8,7145.24,0.0,1,Champions
CUST00155,2,3,2024.8,0.0,1,Loyal Customers
CUST00156,34,2,4117.160799999999,1.0,1,Dormant Customers
CUST00157,0,5,2269.91,1.0,1,Champions
CUST00158,155,1,812.34,0.0,1,Dormant Customers
CUST00159,474,2,2680.6907999999985,0.0,1,Dormant Customers
CUST00160,177,2,1064.66,1.0,1,Dormant Customers
CUST00161,20,4,4081.290799999999,0.0,1,Loyal Customers
CUST00162,91,2,1194.59,0.0,1,Dormant Customers
CUST00163,70,1,275.41,0.0,1,Dormant Customers
CUST00164,222,5,4657.03,1.0,1,At-Risk Spenders
CUST00165,103,3,1825.77,0.0,1,Dormant Customers
CUST00166,15,1,1269.41,1.0,1,Dormant Customers
CUST00167,219,1,423.24,0.0,1,Dormant Customers
CUST00168,85,4,4159.16,0.0,1,At-Risk Spenders
CUST00169,222,1,1799.45,0.0,1,Dormant Customers
CUST00170,9,10,6759.48,1.0,1,Champions
CUST00171,12,1,1077.78,0.0,1,Dormant Customers
CUST00172,8,7,4910.65,3.0,1,Champions
CUST00173,79,5,1431.69,1.0,1,Dormant Customers
CUST00174,86,6,2361.28,2.0,1,Dormant Customers
CUST00175,59,4,3568.32,1.0,1,Dormant Customers
CUST00176,37,3,3830.31,0.0,1,Loyal Customers
CUST00177,82,2,1003.66,0.0,1,Dormant Customers
CUST00178,5,8,5602.76,4.0,1,Champions
CUST00179,38,3,1585.62,2.0,1,Dormant Customers
CUST00180,96,2,1570.85,1.0,1,Dormant Customers
CUST00181,6,1,1107.73,0.0,1,Dormant Customers
CUST00182,31,1,305.3,0.0,1,Dormant Customers
CUST00183,152,3,3246.8900000000003,1.0,1,Dormant Customers
CUST00184,14,5,5072.85,2.0,1,Champions
CUST00185,114,7,4179.18,0.0,1,At-Risk Spenders
CUST00186,41,1,714.65,1.0,1,Dormant Customers
CUST00187,149,3,1344.75,1.0,1,Dormant Customers
CUST00188,29,7,5810.17,3.0,1,Champions
CUST00189,140,9,5900.65,3.0,1,At-Risk Spenders
CUST00190,6,1,482.88,1.0,1,Dormant Customers
CUST00191,28,1,149.0,0.0,1,Dormant Customers
CUST00192,55,3,2263.95,0.0,1,Dormant Customers
CUST00193,157,1,424.74,0.0,1,Dormant Customers
CUST00194,80,5,3878.09,3.0,1,Dormant Customers
CUST00195,23,1,654.27,1.0,1,Dormant Customers
CUST00196,24,2,1272.38,1.0,1,Dormant Customers
CUST00197,15,9,8415.120799999999,3.0,1,Champions
CUST00198,37,9,7595.96,2.0,1,Dormant Customers
CUST00199,6,4,3273.56,1.0,1,Loyal Customers
CUST00200,15,6,6234.730799999998,1.0,1,Champions
CUST00201,93,7,6691.56,2.0,1,At-Risk Spenders
CUST00202,141,1,1220.26,0.0,1,Dormant Customers
CUST00203,114,2,743.3499999999999,0.0,1,Dormant Customers
CUST00204,42,5,2706.75,0.0,1,Loyal Customers
CUST00205,30,5,3202.69,0.0,1,Champions
CUST00206,118,10,6479.7,3.0,1,At-Risk Spenders
CUST00207,18,1,193.1,0.0,1,Dormant Customers
CUST00208,91,6,6865.35,1.0,1,At-Risk Spenders
CUST00209,279,5,3422.88,1.0,1,Dormant Customers
CUST00210,128,2,1254.87,0.0,1,Dormant Customers
CUST00211,90,5,6839.710799999999,1.0,1,At-Risk Spenders
CUST00212,204,3,2071.6800000000003,0.0,1,Dormant Customers
CUST00213,86,2,1680.61,2.0,1,Dormant Customers
CUST00214,64,1,1427.16,0.0,1,Dormant Customers
CUST00215,34,3,1564.1,1.0,1,Loyal Customers
CUST00216,48,1,1349.42,1.0,1,Dormant Customers
CUST00217,79,3,1179.94,0.0,1,Dormant Customers
CUST00218,23,2,1492.68,0.0,1,Dormant Customers
CUST00219,154,6,2782.79,1.0,1,Dormant Customers
CUST00220,25,3,1450.41,1.0,1,Loyal Customers
CUST00221,7,2,781.03,0.0,1,Dormant Customers
CUST00222,186,2,1259.5,1.0,1,Dormant Customers
CUST00223,103,1,757.58,1.0,1,Dormant Customers
CUST00224,89,2,1839.95,1.0,1,Dormant Customers
CUST00225,88,3,3012.6,0.0,1,Dormant Customers
CUST00226,54,3,2345.42,1.0,1,Dormant Customers
CUST00227,153,6,4383.02,2.0,1,At-Risk Spenders
CUST00228,82,7,4150.72,2.0,1,At-Risk Spenders
CUST00229,92,5,3077.41,1.0,1,Dormant Customers
CUST00230,37,8,7503.74,2.0,1,Dormant Customers
CUST00231,23,3,1558.41,0.0,1,Loyal Customers
CUST00232,55,1,786.26,0.0,1,Dormant Customers
CUST00233,361,3,1626.9899999999998,0.0,1,Dormant Customers
CUST00234,17,4,2458.9700000000003,0.0,1,Loyal Customers
CUST00235,125,4,2278.82,0.0,1,Dormant Customers
CUST00236,62,1,782.89,1.0,1,Dormant Customers
CUST00237,15,4,3607.29,0.0,1,Loyal Customers
CUST00238,78,2,2181.78,2.0,1,Dormant Customers
CUST00239,320,1,208.1,0.0,1,Dormant Customers
CUST00240,56,2,2277.31,1.0,1,Dormant Customers
CUST00241,6,3,3041.48,0.0,1,Loyal Customers
CUST00242,82,6,3655.25,0.0,1,Dormant Customers
CUST00243,69,4,3129.06,1.0,1,Dormant Customers
CUST00244,144,2,2449.86,0.0,1,Dormant Customers
CUST00245,73,2,1245.78,0.0,1,Dormant Customers
CUST00246,52,3,1985.72,1.0,1,Dormant Customers
CUST00247,57,11,5611.35,3.0,1,At-Risk Spenders
CUST00248,71,7,4187.56,0.0,1,At-Risk Spenders
CUST00249,162,3,1761.46,0.0,1,Dormant Customers
CUST00250,35,1,837.19,0.0,1,Dormant Customers
CUST00251,41,1,966.73,1.0,1,Dormant Customers
CUST00252,190,6,5194.02,0.0,1,At-Risk Spenders
CUST00253,191,3,1901.13,0.0,1,Dormant Customers
CUST00254,183,4,3041.57,0.0,1,Dormant Customers
CUST00255,22,6,4806.29,2.0,1,Champions
CUST00256,181,2,1727.84,1.0,1,Dormant Customers
CUST00257,55,2,1042.47,0.0,1,Dormant Customers
CUST00258,42,10,6259.64,1.0,1,Loyal Customers
CUST00259,192,1,1519.33,0.0,1,Dormant Customers
CUST00260,2,2,1820.81,0.0,1,Dormant Customers
CUST00261,51,1,350.44,0.0,1,Dormant Customers
CUST00262,9,2,1318.44,0.0,1,Dormant Customers
CUST00263,25,12,7940.0,6.0,1,Champions
CUST00264,31,2,671.0999999999999,1.0,1,Dormant Customers
CUST00265,77,1,510.24,0.0,1,Dormant Customers
CUST00266,158,4,5306.62,2.0,1,At-Risk Spenders
CUST00267,29,4,4009.840799999999,2.0,1,Dormant Customers
CUST00268,9,3,2097.02,1.0,1,Loyal Customers
CUST00269,30,3,2563.9300000000003,1.0,1,Loyal Customers
CUST00270,75,2,968.72,0.0,1,Dormant Customers
CUST00271,32,4,3933.98,0.0,1,Loyal Customers
CUST00272,12,13,13721.27,0.0,1,Champions
CUST00273,13,8,6009.55,4.0,1,Champions
CUST00274,71,1,695.0,0.0,1,Dormant Customers
CUST00275,241,6,3879.21,1.0,1,Dormant Customers
CUST00276,47,6,8461.381599999997,0.0,1,At-Risk Spenders
CUST00277,2,3,1630.27,0.0,1,Loyal Customers
CUST00278,69,4,2768.06,2.0,1,Dormant Customers
CUST00279,12,8,5366.55,1.0,1,Champions
CUST00280,10,8,7231.759999999999,0.0,1,Champions
CUST00281,35,2,1161.06,0.0,1,Dormant Customers
CUST00282,296,2,774.76,1.0,1,Dormant Customers
CUST00283,18,10,7871.0,4.0,1,Champions
CUST00284,291,2,781.62,0.0,1,Dormant Customers
CUST00285,13,4,2158.18,0.0,1,Loyal Customers
CUST00286,369,2,2027.25,1.0,1,Dormant Customers
CUST00287,69,6,6236.95,1.0,1,At-Risk Spenders
CUST00288,110,2,1096.1,1.0,1,Dormant Customers
CUST00289,5,2,811.06,0.0,1,Dormant Customers
CUST00290,9,1,251.16,1.0,1,Dormant Customers
CUST00291,58,9,5604.34,3.0,1,At-Risk Spenders
CUST00292,43,1,657.91,1.0,1,Dormant Customers
CUST00293,230,3,1699.71,0.0,1,Dormant Customers
CUST00294,102,1,1714.42,0.0,1,Dormant Customers
CUST00295,16,2,2000.29,0.0,1,Dormant Customers
CUST00296,132,4,1989.83,0.0,1,Dormant Customers
CUST00297,154,1,1130.29,1.0,1,Dormant Customers
CUST00298,201,1,1122.99,0.0,1,Dormant Customers
CUST00299,343,4,2302.1800000000003,2.0,1,Dormant Customers
CUST00300,5,4,2276.61,0.0,1,Loyal Customers
CUST00301,9,7,7023.07,3.0,1,Champions
CUST00302,148,4,2534.0,3.0,1,Dormant Customers
CUST00303,48,5,3674.2,2.0,1,Dormant Customers
CUST00304,87,3,2837.27,1.0,1,Dormant Customers
CUST00305,166,1,531.59,0.0,1,Dormant Customers
CUST00306,19,5,3658.35,2.0,1,Champions
CUST00307,32,3,2114.17,1.0,1,Loyal Customers
CUST00308,66,2,1535.15,0.0,1,Dormant Customers
CUST00309,8,3,2731.61,0.0,1,Loyal Customers
CUST00310,22,1,578.27,1.0,1,Dormant Customers
CUST00311,48,1,1336.82,0.0,1,Dormant Customers
CUST00312,64,1,486.27,0.0,1,Dormant Customers
CUST00313,162,1,769.77,1.0,1,Dormant Customers
CUST00314,16,1,560.98,0.0,1,Dormant Customers
CUST00315,17,10,10137.96,2.0,1,Champions
CUST00316,97,2,1079.82,1.0,1,Dormant Customers
CUST00317,100,1,1353.24,0.0,1,Dormant Customers
CUST00318,47,5,5959.01,1.0,1,At-Risk Spenders
CUST00319,147,6,2585.4700000000003,0.0,1,Dormant Customers
CUST00320,25,7,5001.34,1.0,1,Champions
CUST00321,116,6,3100.54,2.0,1,Dormant Customers
CUST00322,4,5,3351.86,0.0,1,Champions
CUST00323,5,8,7225.06,0.0,1,Champions
CUST00324,274,4,5041.530799999999,2.0,1,At-Risk Spenders
CUST00325,44,3,3234.530799999998,0.0,1,Loyal Customers
CUST00326,124,3,1868.65,1.0,1,Dormant Customers
CUST00327,2,3,1087.67,0.0,1,Loyal Customers
CUST00328,322,1,371.68,0.0,1,Dormant Customers
CUST00329,1,1,299.28,0.0,1,Dormant Customers
CUST00330,74,3,1307.8000000000002,1.0,1,Dormant Customers
CUST00331,151,5,3450.66,2.0,1,Dormant Customers
CUST00332,24,2,2059.8,2.0,1,Dormant Customers
CUST00333,75,1,870.15,0.0,1,Dormant Customers
CUST00334,85,3,2170.31,1.0,1,Dormant Customers
CUST00335,148,3,2480.1,2.0,1,Dormant Customers
CUST00336,29,4,1900.82,0.0,1,Loyal Customers
CUST00337,7,2,1887.73,1.0,1,Dormant Customers
CUST00338,12,1,887.38,1.0,1,Dormant Customers
CUST00339,92,4,2671.88,1.0,1,Dormant Customers
CUST00340,46,8,5565.53,1.0,1,At-Risk Spenders
CUST00341,19,1,790.16,0.0,1,Dormant Customers
CUST00342,1,3,2620.58,1.0,1,Loyal Customers
CUST00343,94,5,2489.52,0.0,1,Dormant Customers
CUST00344,189,5,4461.57,4.0,1,At-Risk Spenders
CUST00345,3,5,5242.620799999999,1.0,1,Champions
CUST00346,72,11,10011.3,2.0,1,At-Risk Spenders
CUST00347,184,4,3311.46,1.0,1,Dormant Customers
CUST00348,1,3,2509.74,0.0,1,Loyal Customers
CUST00349,74,4,3794.38,0.0,1,Dormant Customers
CUST00350,41,1,537.51,0.0,1,Dormant Customers
CUST00351,9,7,7207.510799999998,3.0,1,Champions
CUST00352,27,1,1000.77,0.0,1,Dormant Customers
CUST00353,118,4,1755.12,1.0,1,Dormant Customers
CUST00354,36,5,2894.64,1.0,1,Loyal Customers
CUST00355,171,4,3405.2,2.0,1,Dormant Customers
CUST00356,7,5,2474.34,2.0,1,Champions
CUST00357,42,1,513.15,1.0,1,Dormant Customers
CUST00358,101,2,1523.36,1.0,1,Dormant Customers
CUST00359,3,8,6332.549999999999,0.0,1,Champions
CUST00360,2,6,8052.98,0.0,1,Champions
CUST00361,169,1,361.04,1.0,1,Dormant Customers
CUST00362,23,4,2137.19,1.0,1,Loyal Customers
CUST00363,27,1,413.99,1.0,1,Dormant Customers
CUST00364,359,3,2049.88,2.0,1,Dormant Customers
CUST00365,158,1,1015.06,0.0,1,Dormant Customers
CUST00366,92,4,5279.17,1.0,1,At-Risk Spenders
CUST00367,212,1,884.81,0.0,1,Dormant Customers
CUST00368,55,1,348.81,1.0,1,Dormant Customers
CUST00369,71,3,2263.62,0.0,1,Dormant Customers
CUST00370,172,1,452.14,0.0,1,Dormant Customers
CUST00371,124,3,2631.54,1.0,1,Dormant Customers
CUST00372,56,1,431.11,1.0,1,Dormant Customers
CUST00373,73,2,1612.89,0.0,1,Dormant Customers
CUST00374,219,2,795.8299999999999,1.0,1,Dormant Customers
CUST00375,85,6,3564.29,1.0,1,Dormant Customers
CUST00376,45,8,5532.45,0.0,1,Loyal Customers
CUST00377,80,4,2214.32,0.0,1,Dormant Customers
CUST00378,99,1,1622.32,0.0,1,Dormant Customers
CUST00379,75,2,1029.97,0.0,1,Dormant Customers
CUST00380,39,6,3460.9,1.0,1,Loyal Customers
CUST00381,182,1,597.86,1.0,1,Dormant Customers
CUST00382,45,2,766.55,0.0,1,Dormant Customers
CUST00383,8,6,4050.11,3.0,1,Champions
CUST00384,26,1,470.31,0.0,1,Dormant Customers
CUST00385,63,7,5606.02,3.0,1,At-Risk Spenders
CUST00386,0,6,4989.88,1.0,1,Champions
CUST00387,40,1,721.21,0.0,1,Dormant Customers
CUST00388,37,5,2574.36,1.0,1,Loyal Customers
CUST00389,14,9,6570.38,3.0,1,Champions
CUST00390,54,2,1639.4299999999998,1.0,1,Dormant Customers
CUST00391,1,3,2830.86,0.0,1,Loyal Customers
CUST00392,133,7,5290.95,0.0,1,At-Risk Spenders
CUST00393,12,2,2231.04,1.0,1,Dormant Customers
CUST00394,1,1,404.19,1.0,1,Dormant Customers
CUST00395,35,3,1418.71,1.0,1,Loyal Customers
CUST00396,10,5,3031.78,1.0,1,Champions
CUST00397,79,11,9647.73,4.0,1,At-Risk Spenders
CUST00398,8,4,2823.02,1.0,1,Loyal Customers
CUST00399,262,4,2749.65,0.0,1,Dormant Customers
CUST00400,44,1,402.05,0.0,1,Dormant Customers
CUST00401,66,1,568.99,1.0,1,Dormant Customers
CUST00402,132,3,1410.06,1.0,1,Dormant Customers
CUST00403,21,2,2029.32,0.0,1,Dormant Customers
CUST00404,193,6,4631.52,2.0,1,At-Risk Spenders
CUST00405,2,1,282.03,1.0,1,Dormant Customers
CUST00406,10,3,997.27,1.0,1,Loyal Customers
CUST00407,18,1,1569.01,0.0,1,Dormant Customers
CUST00408,40,7,4155.91,4.0,1,At-Risk Spenders
CUST00409,58,7,4946.35,3.0,1,At-Risk Spenders
CUST00410,1,2,1365.22,1.0,1,Dormant Customers
CUST00411,253,1,1756.76,0.0,1,Dormant Customers
CUST00412,529,1,1486.51,0.0,1,Dormant Customers
CUST00413,26,3,1644.89,2.0,1,Dormant Customers
CUST00414,3,1,311.44,1.0,1,Dormant Customers
CUST00415,120,2,2282.07,1.0,1,Dormant Customers
CUST00416,28,2,1020.28,1.0,1,Dormant Customers
CUST00417,151,4,2750.03,0.0,1,Dormant Customers
CUST00418,5,2,1919.75,1.0,1,Dormant Customers
CUST00419,98,2,1795.1,0.0,1,Dormant Customers
CUST00420,18,4,4050.29,1.0,1,Loyal Customers
CUST00421,0,7,5557.389999999999,2.0,1,Champions
CUST00422,125,2,1075.03,0.0,1,Dormant Customers
CUST00423,135,3,2349.76,0.0,1,Dormant Customers
CUST00424,113,2,1297.49,1.0,1,Dormant Customers
CUST00425,113,2,1502.44,0.0,1,Dormant Customers
CUST00426,77,2,1478.25,0.0,1,Dormant Customers
CUST00427,1,2,331.53,1.0,1,Dormant Customers
CUST00428,74,5,2817.05,1.0,1,Dormant Customers
CUST00429,6,1,432.48,1.0,1,Dormant Customers
CUST00430,22,3,2369.81,0.0,1,Loyal Customers
CUST00431,154,2,903.65,0.0,1,Dormant Customers
CUST00432,112,4,4954.810799999998,0.0,1,At-Risk Spenders
CUST00433,36,6,4884.34,4.0,1,At-Risk Spenders
CUST00434,293,2,1034.35,0.0,1,Dormant Customers
CUST00435,200,3,1740.56,1.0,1,Dormant Customers
CUST00436,49,4,2770.92,0.0,1,Dormant Customers
CUST00437,151,1,729.22,0.0,1,Dormant Customers
CUST00438,64,3,2466.39,3.0,1,Dormant Customers
CUST00439,119,3,1981.34,1.0,1,Dormant Customers
CUST00440,64,1,325.03,1.0,1,Dormant Customers
CUST00441,211,1,786.67,1.0,1,Dormant Customers
CUST00442,69,8,4905.34,1.0,1,At-Risk Spenders
CUST00443,265,3,1694.35,0.0,1,Dormant Customers
CUST00444,232,1,520.84,0.0,1,Dormant Customers
CUST00445,26,1,1594.8,0.0,1,Dormant Customers
CUST00446,26,1,521.16,0.0,1,Dormant Customers
CUST00447,36,7,3091.4,2.0,1,Dormant Customers
CUST00448,136,5,4291.91,3.0,1,At-Risk Spenders
CUST00449,209,2,661.52,0.0,1,Dormant Customers
CUST00450,44,1,862.9,0.0,1,Dormant Customers
CUST00451,29,4,3636.0,2.0,1,Dormant Customers
CUST00452,256,6,1929.85,1.0,1,Dormant Customers
CUST00453,17,4,3032.93,1.0,1,Loyal Customers
CUST00454,13,4,2655.42,2.0,1,Dormant Customers
CUST00455,273,3,1616.76,1.0,1,Dormant Customers
CUST00456,147,4,3440.2,1.0,1,Dormant Customers
CUST00457,321,2,1371.21,0.0,1,Dormant Customers
CUST00458,4,2,1371.81,0.0,1,Dormant Customers
CUST00459,237,3,2928.03,2.0,1,Dormant Customers
CUST00460,19,11,9241.95,1.0,1,Champions
CUST00461,194,4,1579.47,0.0,1,Dormant Customers
CUST00462,35,3,2689.5,1.0,1,Loyal Customers
CUST00463,29,4,5048.68,0.0,1,Loyal Customers
CUST00464,106,10,6495.79,3.0,1,At-Risk Spenders
CUST00465,177,1,1298.74,0.0,1,Dormant Customers
CUST00466,25,10,5238.91,2.0,1,Champions
CUST00467,3,2,1180.98,0.0,1,Dormant Customers
CUST00468,198,2,1077.86,1.0,1,Dormant Customers
CUST00469,19,3,1886.95,0.0,1,Loyal Customers
CUST00470,166,5,3508.62,2.0,1,Dormant Customers
CUST00471,126,1,307.23,0.0,1,Dormant Customers
CUST00472,114,3,2846.8,0.0,1,Dormant Customers
CUST00473,121,6,3513.72,2.0,1,Dormant Customers
CUST00474,22,3,1652.35,1.0,1,Loyal Customers
CUST00475,39,9,6843.600799999998,0.0,1,Loyal Customers
CUST00476,140,7,6233.25,3.0,1,At-Risk Spenders
CUST00477,60,4,3034.67,0.0,1,Dormant Customers
CUST00478,31,2,862.04,0.0,1,Dormant Customers
CUST00479,269,1,319.34,1.0,1,Dormant Customers
CUST00480,148,7,4227.82,0.0,1,At-Risk Spenders
CUST00481,43,2,934.12,0.0,1,Dormant Customers
